user_id,song_id,listen_count,title,release,artist_name,year
0,46fcac983e15400ab86a24b1dfe6bcbb,7,"Sitting, Waiting, Wishing",Sleep Through the Static,Adele,2001
1,d4aadfa7bc934b95969fd9cc962a3307,16,The Cove,To the Sea,Coldplay,2015
2,6ed48dc4879648ac9f233929a4d3fb6f,15,Banana Pancakes,Sleep Through the Static,Ed Sheeran,2010
3,0020f45ce5cd48ce873e74a53c1b42f6,7,The Cove,Thicker Than Water,John Mayer,2018
4,ad1c09dac6f445a791d9c4b495d67abc,5,Upside Down,To the Sea,Ed Sheeran,2006
5,3d421b621cc847eaa178fc5baa58678e,18,Do You Remember,Sleep Through the Static,Adele,2001
6,6babeced51c243f5968c4c8eb34538ad,4,Better Together,To the Sea,Jack Johnson,2005
7,3e9c17d93f9c4546bd5a163229b049a2,5,Breakdown,Sing-A-Longs and Lullabies for the Film Curious George,Coldplay,2010
8,fd31d85a74804bfbaaa249f6bb0fc117,12,Better Together,Brushfire Fairytales,John Mayer,2013
9,1f35ba0c284c406b915160414e0f0b46,9,"Sitting, Waiting, Wishing",In Between Dreams,John Mayer,2008
10,121e6b64ec1a4e50bbcc1b52577d0027,3,Better Together,Brushfire Fairytales,Ed Sheeran,2015
11,63e6b63b43e54293bca47505703a004b,18,Better Together,Sing-A-Longs and Lullabies for the Film Curious George,Norah Jones,2006
12,4ca8c9e56eb34f1088688b0762784c9e,17,Do You Remember,Brushfire Fairytales,Norah Jones,2000
13,0d4d8d6294d24e909df42c9851b15b1c,5,Breakdown,To the Sea,Norah Jones,2010
14,0349f10602a045e0816140474d38a540,3,Breakdown,Thicker Than Water,Jack Johnson,2006
15,1994e36ec70d42418993fd7c1aff3c7d,19,Do You Remember,Thicker Than Water,Norah Jones,2013
16,4a5566188ab2434fb3513fb6cafe70c2,12,"Sitting, Waiting, Wishing",In Between Dreams,Ed Sheeran,2001
17,6309e7f249b54292a1443fd881883f87,19,If I Had Eyes,Thicker Than Water,Ed Sheeran,2005
18,713a8f1a99a6428bac0c47c02d459f8b,6,The Cove,Sing-A-Longs and Lullabies for the Film Curious George,Jack Johnson,2018
19,07300f39ca234a8fab26a80351337461,20,"Sitting, Waiting, Wishing",In Between Dreams,Norah Jones,2010
20,de31180e24bb49ed9fda3c0ed9bdbc73,2,The Cove,Thicker Than Water,Coldplay,2000
21,4d4d1ae1cd554c14bb2524ece458b021,3,"Sitting, Waiting, Wishing",In Between Dreams,Coldplay,2020
22,6c0de79240ec412794da272f77c70557,18,Better Together,Sleep Through the Static,Coldplay,2011
23,fb68d75cab1c47b1aa23a43ea95247d0,18,Banana Pancakes,Thicker Than Water,Norah Jones,2015
24,cd90c97fa0b941ff9b6fdb3c613fe105,3,Banana Pancakes,In Between Dreams,Adele,2008
25,08ed821b671f4c4bb3526ba5a6b593a2,6,You and Your Heart,Thicker Than Water,Coldplay,2006
26,ba7d4e7bb81340638b8cb28d51731fba,17,If I Had Eyes,Thicker Than Water,Adele,2013
27,510cea097b444d0ebf55aa03fb1781cc,11,The Cove,Sing-A-Longs and Lullabies for the Film Curious George,Jack Johnson,2020
28,83c242e6adad417bbc91a21c09089f67,4,You and Your Heart,To the Sea,Norah Jones,2020
29,cc407eb3d88b4d97a3f47fff99571bc5,18,If I Had Eyes,Sleep Through the Static,Adele,2020
30,27cee1ab8289443aabb734ab95f0c95f,12,Better Together,To the Sea,Ed Sheeran,2000
31,00e13df021914199b12cce836c9b8448,1,Do You Remember,To the Sea,Ed Sheeran,2005
32,72ec0e8147904e3daaf910aa82f54221,8,"Sitting, Waiting, Wishing",In Between Dreams,Norah Jones,2013
33,1d9aa156d41c46d0876bf0215ae52528,20,Breakdown,Sleep Through the Static,Adele,2001
34,0f733f990b5c46e08b7aa6b91428fef5,16,Better Together,Brushfire Fairytales,John Mayer,2011
35,636a48e697ae4f7fad7e946b363ae5e6,9,You and Your Heart,Sing-A-Longs and Lullabies for the Film Curious George,Coldplay,2020
36,038507a9e01f417ca62787e100a64bf3,16,You and Your Heart,Sleep Through the Static,Coldplay,2013
37,cb96df25c1584f1bafd83ff9079bfbb8,19,If I Had Eyes,Thicker Than Water,Coldplay,2015
38,4379a117090548ce8ac3329f6adaa128,9,You and Your Heart,Thicker Than Water,Adele,2006
39,e212e01d32fc47a097882c4d066ebdd2,16,You and Your Heart,Thicker Than Water,Jack Johnson,2013
40,bc34cd0db7284770b6775184cd615f8b,9,Better Together,Sleep Through the Static,Coldplay,2008
41,45bd0ecaa0d64340863dee9daa32bedf,1,"Sitting, Waiting, Wishing",Sing-A-Longs and Lullabies for the Film Curious George,Ed Sheeran,2008
42,63d03e5ef69f4226be64ac266b9d7241,16,Do You Remember,To the Sea,Coldplay,2013
43,0f5bf96fb634432e86f9cc887205a7e0,18,The Cove,Brushfire Fairytales,Jack Johnson,2005
44,fed7691e642842fd8a17bc05326c798e,4,Do You Remember,In Between Dreams,Adele,2011
45,598a77c097be449b9d3146d481b9b4d7,1,Better Together,To the Sea,Norah Jones,2011
46,16b8a97d33b64d789d994893908f1245,7,Breakdown,Sing-A-Longs and Lullabies for the Film Curious George,Jack Johnson,2015
47,480dbe317dae497d830b027e6afb5446,16,The Cove,Sleep Through the Static,John Mayer,2001
48,86efbf4129d94b12b6c2736ab3d3b057,20,Better Together,To the Sea,John Mayer,2018
49,16feced48d0e418abe421674385fbf81,8,Better Together,Brushfire Fairytales,Adele,2011
50,007b6413953b4bd38a9d303933597130,1,If I Had Eyes,To the Sea,Ed Sheeran,2015
51,c1bd593d3eff442584882b950cbb5d34,19,Flake,To the Sea,Norah Jones,2008
52,5956501dcc574f648f3a7c1f7f4447d8,11,Good People,Thicker Than Water,Adele,2000
53,cf065248d8c94e15832ae730f41bcf14,11,Good People,Sleep Through the Static,John Mayer,2018
54,0e21ecf2b70d46449a08c6e972703db1,11,Flake,Brushfire Fairytales,Norah Jones,2006
55,79869f13c0f44fcdb3a4ebfb2b4930f3,13,You and Your Heart,Sleep Through the Static,Norah Jones,2013
56,9887f7b98dae403eb2085810031f6e54,18,Breakdown,Thicker Than Water,Adele,2010
57,0b529d2503ca43ba869b833a477a0208,17,"Sitting, Waiting, Wishing",Thicker Than Water,Jack Johnson,2000
58,389b6b9d8f0a476f91bd91e815e0652d,12,Better Together,Thicker Than Water,John Mayer,2010
59,027ac9c3ab894cdf962c1c450f36683a,3,Breakdown,Sing-A-Longs and Lullabies for the Film Curious George,Jack Johnson,2013
60,130d0eacca6540a19f8aa266837df63f,20,Banana Pancakes,Brushfire Fairytales,Jack Johnson,2010
61,2bcc70a0327847a9a32a201b60ccf4dd,5,Flake,Brushfire Fairytales,Norah Jones,2010
62,fdf4604b199f4351a7180fd22b9a2f09,7,Breakdown,Brushfire Fairytales,Coldplay,2015
63,8af612f497284c408864763dcbb2a510,9,Upside Down,Sleep Through the Static,Jack Johnson,2010
64,3d8bb7d113a84889beca86e3fed2016a,16,If I Had Eyes,In Between Dreams,Coldplay,2000
65,28f9cc36b86440d2a3a4e849b21b10bd,17,Upside Down,To the Sea,Ed Sheeran,2013
66,ba81b9cf68c342ec8302a54ee766e4e4,13,Upside Down,Sing-A-Longs and Lullabies for the Film Curious George,Coldplay,2000
67,92e48b5036e74d839cb3f82f3ba543db,7,Good People,Thicker Than Water,Norah Jones,2020
68,024cb5e7b8534b6a84051034801c462d,19,Do You Remember,Sleep Through the Static,Norah Jones,2015
69,2f2f20ea5c2844f0a774be4996ae308b,15,The Cove,Thicker Than Water,Coldplay,2018
70,b7a7c26c2cd240869266b039074f9fb3,5,If I Had Eyes,Brushfire Fairytales,Jack Johnson,2006
71,2c2478fbb205450cbc753dab5ff015aa,4,Upside Down,Sleep Through the Static,Adele,2006
72,b2751dda76f24b6dab882074d842f6e9,14,Banana Pancakes,Thicker Than Water,Norah Jones,2011
73,a27852dfe3e648acb276c19cea45104c,4,You and Your Heart,Brushfire Fairytales,Coldplay,2015
74,69bdb226222543459fbfe8a505fbf0de,11,Flake,In Between Dreams,Coldplay,2013
75,7987f60a457a4afba64171102cce5cee,5,Banana Pancakes,To the Sea,Adele,2005
76,adfed4a0e9e645149b1abca84fb9a380,6,Breakdown,Thicker Than Water,Norah Jones,2013
77,503b372829194763ac7c13e7ee92770b,7,The Cove,Sleep Through the Static,Ed Sheeran,2018
78,ed202164de5b4ec79bad3675526ca0b4,15,Breakdown,To the Sea,Jack Johnson,2008
79,c6e6a338a56947019c76a5923aa5042f,12,You and Your Heart,To the Sea,Ed Sheeran,2008
80,71da91575d024b5cae9234ecd31c3281,13,"Sitting, Waiting, Wishing",To the Sea,Adele,2020
81,bcbd946ec3884b178d49122a8a4de0a5,3,You and Your Heart,Sing-A-Longs and Lullabies for the Film Curious George,Jack Johnson,2010
82,57596a5156894bba9603e6d8758bf8b9,15,You and Your Heart,In Between Dreams,Norah Jones,2020
83,2b97c9d991704ca692f409b0c72c19e2,10,Breakdown,Sing-A-Longs and Lullabies for the Film Curious George,Coldplay,2011
84,d58396c4caab4260a19d9d0a681dfbec,12,The Cove,Sleep Through the Static,John Mayer,2018
85,53bc888f63ec4c959ed96ab0510c2178,5,The Cove,Sleep Through the Static,Ed Sheeran,2015
86,9e7b47f6d37b49b19b493828887b494b,11,Breakdown,Sing-A-Longs and Lullabies for the Film Curious George,Norah Jones,2013
87,5da77464bf8d461a9638c3fdbfc71764,15,Breakdown,In Between Dreams,John Mayer,2015
88,8d20b3853f5645c4b22d72c11b5847e6,7,Better Together,Brushfire Fairytales,Adele,2018
89,7dbd662d28df4409b8d810ffafe0518e,13,Good People,Sleep Through the Static,Ed Sheeran,2005
90,5ac4f34fc23549b18a33d2cd4350770b,9,"Sitting, Waiting, Wishing",Brushfire Fairytales,Norah Jones,2008
91,dfde6070a2694ddaa3b1b5b6c7cb9d23,18,You and Your Heart,Brushfire Fairytales,Coldplay,2006
92,8e76048cc549420388a111db1c6392c0,4,Banana Pancakes,Brushfire Fairytales,Adele,2005
93,013029f77f6b4303b2b46911ec61281d,19,The Cove,To the Sea,Coldplay,2008
94,76aa3d43185342c1b705be939dfa543e,10,"Sitting, Waiting, Wishing",In Between Dreams,Norah Jones,2005
95,1fd80dd0ea5241039bde0ab1fed7adc3,8,Banana Pancakes,In Between Dreams,John Mayer,2015
96,d51853aea55a4b379d336643c7872564,4,Breakdown,Thicker Than Water,Coldplay,2000
97,1121755f7d274906b8dbf1822f5bbab0,6,"Sitting, Waiting, Wishing",In Between Dreams,Norah Jones,2008
98,2724f390d9a044c6aa9d5a5f1c7b1600,15,Good People,Sleep Through the Static,Adele,2006
99,16ebcb28233b4bd89ff8fba9f39ff384,15,"Sitting, Waiting, Wishing",To the Sea,Adele,2020
100,9871894defd246cfa4e8de5e26152f78,11,Upside Down,In Between Dreams,Coldplay,2013
101,2605900a08ef4ce3b09fb1750c72eaf9,5,Upside Down,Sleep Through the Static,Norah Jones,2020
102,0b2ea4ce2a9d428bad622787caddb4b0,14,Breakdown,Sing-A-Longs and Lullabies for the Film Curious George,Ed Sheeran,2018
103,a9b799ed2ebd46ae8e47f957c865693e,16,Good People,To the Sea,Adele,2013
104,392aeb9d30d5415496270f9fd4474112,19,Do You Remember,Brushfire Fairytales,Adele,2006
105,56007943334e40a0a016bed85e758899,17,Upside Down,In Between Dreams,Coldplay,2013
